Source: ftp://192.168.100.190:8190/tmp/
Dest:   file:///dev/
  zero190.img  ->  null

            0 bytes         0.00 MB/sec avg         0.00 MB/sec inst
      9437184 bytes         2.25 MB/sec avg         4.50 MB/sec inst
     22020096 bytes         3.50 MB/sec avg         6.00 MB/sec inst
     45088768 bytes         5.37 MB/sec avg        11.00 MB/sec inst
     70254592 bytes         6.70 MB/sec avg        12.00 MB/sec inst
     81788928 bytes         6.50 MB/sec avg         5.50 MB/sec inst
     89128960 bytes         6.07 MB/sec avg         3.50 MB/sec inst
     99614720 bytes         5.94 MB/sec avg         5.00 MB/sec inst
    114294784 bytes         6.06 MB/sec avg         7.00 MB/sec inst
    127926272 bytes         6.10 MB/sec avg         6.50 MB/sec inst
    149946368 bytes         6.50 MB/sec avg        10.50 MB/sec inst
    188743680 bytes         7.50 MB/sec avg        18.50 MB/sec inst
    213909504 bytes         7.85 MB/sec avg        12.00 MB/sec inst
    246415360 bytes         8.39 MB/sec avg        15.50 MB/sec inst
    281018368 bytes         8.93 MB/sec avg        16.50 MB/sec inst
    297795584 bytes         8.87 MB/sec avg         8.00 MB/sec inst
    313524224 bytes         8.79 MB/sec avg         7.50 MB/sec inst
    339738624 bytes         9.00 MB/sec avg        12.50 MB/sec inst
    365953024 bytes         9.18 MB/sec avg        12.50 MB/sec inst
    390070272 bytes         9.30 MB/sec avg        11.50 MB/sec inst
    421527552 bytes         9.57 MB/sec avg        15.00 MB/sec inst
    442499072 bytes         9.59 MB/sec avg        10.00 MB/sec inst
    471859200 bytes         9.78 MB/sec avg        14.00 MB/sec inst
    507510784 bytes        10.08 MB/sec avg        17.00 MB/sec inst
    534773760 bytes        10.20 MB/sec avg        13.00 MB/sec inst
    557842432 bytes        10.23 MB/sec avg        11.00 MB/sec inst
    583008256 bytes        10.30 MB/sec avg        12.00 MB/sec inst
    607125504 bytes        10.34 MB/sec avg        11.50 MB/sec inst
    630194176 bytes        10.36 MB/sec avg        11.00 MB/sec inst
    651165696 bytes        10.35 MB/sec avg        10.00 MB/sec inst
    668991488 bytes        10.29 MB/sec avg         8.50 MB/sec inst
    679477248 bytes        10.12 MB/sec avg         5.00 MB/sec inst
    693108736 bytes        10.02 MB/sec avg         6.50 MB/sec inst
