Source: ftp://192.168.100.195:8195/tmp/
Dest:   file:///dev/
  zero195.img  ->  null

            0 bytes         0.00 MB/sec avg         0.00 MB/sec inst
      2097152 bytes         0.50 MB/sec avg         1.00 MB/sec inst
      8388608 bytes         1.33 MB/sec avg         3.00 MB/sec inst
     19922944 bytes         2.37 MB/sec avg         5.50 MB/sec inst
     55574528 bytes         5.30 MB/sec avg        17.00 MB/sec inst
     90177536 bytes         7.17 MB/sec avg        16.50 MB/sec inst
    113246208 bytes         7.71 MB/sec avg        11.00 MB/sec inst
    130023424 bytes         7.75 MB/sec avg         8.00 MB/sec inst
    144703488 bytes         7.67 MB/sec avg         7.00 MB/sec inst
    159383552 bytes         7.60 MB/sec avg         7.00 MB/sec inst
    190840832 bytes         8.27 MB/sec avg        15.00 MB/sec inst
    214958080 bytes         8.54 MB/sec avg        11.50 MB/sec inst
    231735296 bytes         8.50 MB/sec avg         8.00 MB/sec inst
    264241152 bytes         9.00 MB/sec avg        15.50 MB/sec inst
    294649856 bytes         9.37 MB/sec avg        14.50 MB/sec inst
    320864256 bytes         9.56 MB/sec avg        12.50 MB/sec inst
    342884352 bytes         9.62 MB/sec avg        10.50 MB/sec inst
    359661568 bytes         9.53 MB/sec avg         8.00 MB/sec inst
    380633088 bytes         9.55 MB/sec avg        10.00 MB/sec inst
    398458880 bytes         9.50 MB/sec avg         8.50 MB/sec inst
    413138944 bytes         9.38 MB/sec avg         7.00 MB/sec inst
    437256192 bytes         9.48 MB/sec avg        11.50 MB/sec inst
    460324864 bytes         9.54 MB/sec avg        11.00 MB/sec inst
    487587840 bytes         9.69 MB/sec avg        13.00 MB/sec inst
    513802240 bytes         9.80 MB/sec avg        12.50 MB/sec inst
    542113792 bytes         9.94 MB/sec avg        13.50 MB/sec inst
    567279616 bytes        10.02 MB/sec avg        12.00 MB/sec inst
    589299712 bytes        10.04 MB/sec avg        10.50 MB/sec inst
    610271232 bytes        10.03 MB/sec avg        10.00 MB/sec inst
    631242752 bytes        10.03 MB/sec avg        10.00 MB/sec inst
    663748608 bytes        10.21 MB/sec avg        15.50 MB/sec inst
    694157312 bytes        10.34 MB/sec avg        14.50 MB/sec inst
    726663168 bytes        10.50 MB/sec avg        15.50 MB/sec inst
    754974720 bytes        10.59 MB/sec avg        13.50 MB/sec inst
    774897664 bytes        10.56 MB/sec avg         9.50 MB/sec inst
    799014912 bytes        10.58 MB/sec avg        11.50 MB/sec inst
    818937856 bytes        10.55 MB/sec avg         9.50 MB/sec inst
    831520768 bytes        10.43 MB/sec avg         6.00 MB/sec inst
    857735168 bytes        10.49 MB/sec avg        12.50 MB/sec inst
    888143872 bytes        10.59 MB/sec avg        14.50 MB/sec inst
    917504000 bytes        10.67 MB/sec avg        14.00 MB/sec inst
    940572672 bytes        10.68 MB/sec avg        11.00 MB/sec inst
    972029952 bytes        10.78 MB/sec avg        15.00 MB/sec inst
   1004535808 bytes        10.89 MB/sec avg        15.50 MB/sec inst
   1042284544 bytes        11.04 MB/sec avg        18.00 MB/sec inst
   1077936128 bytes        11.17 MB/sec avg        17.00 MB/sec inst
   1125122048 bytes        11.41 MB/sec avg        22.50 MB/sec inst
   1162870784 bytes        11.55 MB/sec avg        18.00 MB/sec inst
   1198522368 bytes        11.66 MB/sec avg        17.00 MB/sec inst
   1224736768 bytes        11.68 MB/sec avg        12.50 MB/sec inst
