nuttcp-r: v8.1.3: socket
nuttcp-r: buflen=65536 nstream=1 port=8194 mode=tcp
nuttcp-r: reporting_interval=0.10
nuttcp-r: accept=192.168.100.194
nuttcp-r: send_window_size=332800 receive_window_size=236160
nuttcp-r: send_window_avail=249600 receive_window_avail=177120
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=0
nuttcp-r: v8.1.3: Error: not receiving data from server
