nuttcp-r: v8.1.3: socket
nuttcp-r: buflen=65536 nstream=1 port=8190 mode=tcp
nuttcp-r: reporting_interval=0.10
nuttcp-r: accept=192.168.100.190
nuttcp-r: send_window_size=332800 receive_window_size=236160
nuttcp-r: send_window_avail=249600 receive_window_avail=177120
megabytes=0.0625 real_sec=0.10 rate_Mbps=5.2414 retrans=0 cwnd=87
megabytes=0.1875 real_sec=0.10 rate_Mbps=15.7242 retrans=0 cwnd=87
megabytes=0.3750 real_sec=0.10 rate_Mbps=31.4611 retrans=0 cwnd=209
megabytes=0.8750 real_sec=0.10 rate_Mbps=73.3827 retrans=0 cwnd=419
megabytes=1.6875 real_sec=0.10 rate_Mbps=141.5847 retrans=0 cwnd=812
megabytes=4.1250 real_sec=0.10 rate_Mbps=346.1789 retrans=0 cwnd=2158
megabytes=5.9375 real_sec=0.10 rate_Mbps=497.8098 retrans=0 cwnd=2927
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.7765 retrans=0 cwnd=5417
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.0537 retrans=0 cwnd=7366
megabytes=5.8750 real_sec=0.10 rate_Mbps=493.1266 retrans=0 cwnd=7462
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.0885 retrans=0 cwnd=10031
megabytes=5.9375 real_sec=0.10 rate_Mbps=497.8446 retrans=0 cwnd=10127
megabytes=5.8750 real_sec=0.10 rate_Mbps=493.0477 retrans=0 cwnd=10564
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.0039 retrans=0 cwnd=10564
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.7568 retrans=0 cwnd=10582
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.2231 retrans=0 cwnd=10599
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.0686 retrans=0 cwnd=10617
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.8406 retrans=0 cwnd=10617
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.0686 retrans=0 cwnd=10617
megabytes=5.9375 real_sec=0.10 rate_Mbps=497.9242 retrans=0 cwnd=10617
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.9835 retrans=0 cwnd=10634
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.0587 retrans=0 cwnd=10634
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.8455 retrans=0 cwnd=10634
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.0736 retrans=0 cwnd=10634
megabytes=5.9375 real_sec=0.10 rate_Mbps=497.7948 retrans=0 cwnd=10634
megabytes=5.8750 real_sec=0.10 rate_Mbps=493.0871 retrans=0 cwnd=10634
