megabytes,real_sec,rate_Mbps,retrans,cwnd
8.9375,0.10,749.6344,0,1869
10.6250,0.10,890.7195,0,1869
10.6250,0.10,891.8693,0,1869
10.5625,0.10,885.8430,0,1887
10.6250,0.10,891.2450,0,1922
10.6250,0.10,891.5392,0,1922
10.6250,0.10,891.2629,0,1922
10.3750,0.10,869.8397,0,2350
9.0625,0.10,760.5751,0,3906
7.5625,0.10,634.4519,0,6440
7.3750,0.10,618.6475,0,11001
6.1875,0.10,519.0607,0,14444
6.7500,0.10,566.2367,0,18481
6.1875,0.10,519.0295,0,22151
6.1875,0.10,518.9465,0,25812
6.1875,0.10,519.1541,0,29972
6.1875,0.10,519.0451,0,33651
6.1875,0.10,519.0866,0,37321
6.1875,0.10,519.0036,0,40973
6.1875,0.10,519.0347,0,44617
6.1875,0.10,519.0347,0,48270
6.1875,0.10,519.0918,0,51940
6.2500,0.10,524.2670,0,55636
6.1875,0.10,519.0659,0,59289
6.1875,0.10,519.0451,0,62933
6.1875,0.10,519.0244,0,66585
6.1875,0.10,518.9154,0,70238
6.1875,0.10,518.8687,0,73890
2.5625,0.10,214.9538,0,75420
0.0000,0.10,0.0000,0,75420
0.0000,0.10,0.0000,0,75420
0.0000,0.10,0.0000,0,75420
0.0000,0.10,0.0000,0,75420
0.0000,0.10,0.0000,0,75420
0.0000,0.10,0.0000,0,75420
0.0000,0.10,0.0000,0,75420
7.3125,0.10,613.6808,0,79754
22.0625,0.10,1850.7366,0,92791
37.9375,0.10,3182.2690,0,115231
8.8750,0.10,744.2136,0,120474
7.7500,0.10,650.3187,0,125062
6.5625,0.10,550.5740,7,65213
6.1875,0.10,519.0347,224,60766
6.1875,0.10,519.0088,236,56536
6.1875,0.10,519.0970,302,52892
6.1875,0.10,519.0295,87,47352
6.2500,0.10,524.3037,195,42730
6.1875,0.10,519.0451,84,64313
6.2500,0.10,524.2880,0,64313
6.1875,0.10,518.9725,0,64313
6.1250,0.10,513.8845,0,64313
6.2500,0.10,523.9527,0,64313
6.1250,0.10,513.8279,0,64313
6.1875,0.10,519.3359,0,64313
6.1875,0.10,519.0763,0,64313
6.1875,0.10,519.0451,0,64313
0.0625,0.10,5.2428,0,64313
0.0000,0.10,0.0000,0,64313
0.0000,0.10,0.0000,0,64313
0.0000,0.10,0.0000,0,64313
0.0000,0.10,0.0000,0,64313
0.0000,0.10,0.0000,0,64313
0.0000,0.10,0.0000,0,64313
0.0000,0.10,0.0000,0,64313
12.7500,0.10,1069.9113,0,64313
51.2500,0.10,4297.3567,0,64313
7.6250,0.10,639.8041,0,64313
7.9375,0.10,665.9323,0,64313
7.2500,0.10,608.1741,0,64313
7.0625,0.10,592.4454,0,64313
6.1875,0.10,519.0711,1199,32156
6.1875,0.10,519.0399,0,32156
6.1875,0.10,519.0140,0,32156
6.1875,0.10,518.7961,0,32156
6.1250,0.10,513.8228,0,32156
7.4375,0.10,624.1336,0,32156
7.6875,0.10,644.9387,0,32156
6.1875,0.10,519.0451,0,32156
6.1875,0.10,518.9725,0,32156
6.1875,0.10,519.1178,0,32156
7.1250,0.10,597.6883,0,32156
7.5625,0.10,634.3948,0,32156
6.5000,0.10,545.2432,0,32156
6.1875,0.10,519.0347,0,32156
6.3125,0.10,529.5732,0,32156
6.9375,0.10,581.9539,0,32156
7.5000,0.10,629.1079,0,32156
6.6875,0.10,560.9994,0,32156
6.1250,0.10,513.7971,0,32156
6.2500,0.10,524.1517,0,32156
6.8750,0.10,576.8610,0,32165
7.4375,0.10,623.9152,0,32165
6.8125,0.10,571.4625,0,32165
6.1875,0.10,519.0711,0,32165
6.3125,0.10,529.2504,0,32165
6.8125,0.10,571.4339,0,32165
7.2500,0.10,608.5148,0,32165
6.9375,0.10,581.9655,0,32174
6.1875,0.10,519.0399,0,32174
6.3125,0.10,529.3086,0,32174
6.7500,0.10,566.2537,0,32174
7.0625,0.10,592.4158,0,32174
7.0000,0.10,587.1556,0,32174
6.3125,0.10,529.5679,0,32191
6.3125,0.10,529.4515,0,32191
6.6250,0.10,556.0734,0,32191
7.1250,0.10,597.6764,0,32191
6.9375,0.10,581.9771,0,32191
6.3750,0.10,534.7738,0,32191
6.3125,0.10,529.5309,0,32191
6.5625,0.10,550.5024,0,32200
6.9375,0.10,581.6223,0,32200
6.9375,0.10,582.0412,0,32200
6.5000,0.10,544.9925,0,32200
6.3125,0.10,529.7852,0,32200
6.5000,0.10,545.2704,0,32200
6.8125,0.10,571.3882,0,32226
6.9375,0.10,582.2916,0,32226
6.6250,0.10,555.5897,0,32226
6.2500,0.10,524.1674,0,32226
6.4375,0.10,540.2760,0,32226
6.7500,0.10,566.0895,0,32226
6.8750,0.10,576.8783,0,32261
6.6250,0.10,555.7453,0,32261
6.3125,0.10,529.2980,0,32261
6.3750,0.10,535.0038,0,32261
6.6250,0.10,555.7508,0,32261
6.8125,0.10,571.4796,0,32261
6.6875,0.10,561.0218,0,32261
6.3750,0.10,534.7684,0,32305
6.2500,0.10,524.2880,0,32305
6.5625,0.10,550.4584,0,32305
6.6875,0.10,561.0050,0,32305
6.7500,0.10,566.2310,0,32305
6.3750,0.10,534.7684,0,32305
6.2500,0.10,524.2828,0,32305
6.5000,0.10,545.2704,0,32357
6.6250,0.10,555.7675,0,32357
6.6875,0.10,560.9713,0,32357
6.4375,0.10,539.9141,0,32357
6.2500,0.10,524.3876,0,32357
6.3750,0.10,534.7791,0,32357
6.5000,0.10,545.2541,0,32410
6.6875,0.10,560.9769,0,32410
6.4375,0.10,540.0220,0,32410
6.3125,0.10,529.5044,0,32419
6.3125,0.10,529.5574,0,32419
6.3750,0.10,534.7631,0,32419
6.5625,0.10,550.5134,0,32419
6.5000,0.10,545.2704,0,32480
6.3750,0.10,534.6508,0,32488
6.1875,0.10,518.6769,0,32488
6.2500,0.10,524.6710,0,32488
6.5000,0.10,545.1232,0,32488
6.5000,0.10,545.2323,0,32488
6.3125,0.10,529.6792,0,32488
6.1875,0.10,518.8220,0,32567
6.2500,0.10,524.3509,0,32567
6.3125,0.10,529.6633,0,32567
6.5000,0.10,545.1723,0,32567
6.3125,0.10,528.1155,0,32567
6.2500,0.10,525.8656,0,32567
6.1250,0.10,513.5711,0,32654
6.2500,0.10,524.0679,0,32654
6.3125,0.10,529.8170,0,32654
6.3125,0.10,529.5309,0,32654
6.3125,0.10,529.7481,0,32654
6.1250,0.10,513.4685,0,32654
6.1250,0.10,514.1519,0,32654
6.1875,0.10,518.9102,0,32759
6.3750,0.10,534.6134,0,32759
6.1875,0.10,519.3619,0,32759
6.1250,0.10,513.8022,0,32759
6.0625,0.10,508.5543,0,32759
6.1250,0.10,513.8074,0,32759
6.1875,0.10,519.0451,0,32759
6.2500,0.10,524.1412,0,32873
6.1250,0.10,513.8125,0,32873
6.0625,0.10,508.4119,0,32873
6.0000,0.10,503.3316,0,32873
6.0625,0.10,508.7883,0,32873
6.2500,0.10,524.3247,0,32873
6.1250,0.10,513.7663,0,32873
6.0000,0.10,503.3265,0,32995
6.0000,0.10,503.3165,0,32995
6.0000,0.10,503.3064,0,32995
6.0000,0.10,503.3265,0,32995
6.0625,0.10,508.2900,0,32995
6.1250,0.10,514.0541,0,32995
6.0000,0.10,503.1706,0,32995
5.8125,0.10,487.7390,0,33126
5.9375,0.10,497.7899,0,33126
6.0000,0.10,503.3719,0,33126
6.0000,0.10,503.3165,0,33126
6.0000,0.10,503.4524,0,33126
5.8750,0.10,492.6829,0,33126
5.8750,0.10,492.8455,0,33126
5.8750,0.10,492.7568,0,33275
5.8750,0.10,492.8652,0,33275
6.0000,0.10,503.4021,0,33275
5.8750,0.10,492.7223,0,33275
5.8125,0.10,487.8806,0,33275
5.8125,0.10,487.5878,0,33275
5.8125,0.10,487.6171,0,33275
5.8125,0.10,487.5586,0,33275
5.8750,0.10,492.8356,0,33432
5.8125,0.10,487.3003,0,33432
5.8125,0.10,487.7732,0,33432
5.6875,0.10,477.1164,0,33432
5.7500,0.10,482.4173,0,33432
5.7500,0.10,482.3498,0,33432
